Term,Definition
"What is involved in Type I secretion?","Type I secretion involves the translocation of largely unfolded proteins up to 800 kDa in size."
"Where do Type I secreted proteins fold?","Type I secreted proteins fold in the external environment."
"Give examples of virulence proteins secreted by the Type I secretion system.","Examples include Alpha hemolysin of uropathogenic E. coli (HlyA toxin), HasA hemophore of Serratia marcescens, and Large Adhesin Protein A (LapA) of Pseudomonas fluorescens."
"What is the function of HasA hemophore in Serratia marcescens?","HasA hemophore delivers heme to HasR, a heme receptor in the outer membrane."
"What is the role of Large Adhesin Protein A (LapA) in Pseudomonas fluorescens?","LapA is involved in biofilm formation."
"What is pilus assembly?","A Sec-dependent process"
"What is Type II secretion?","A Sec-dependent process"
"What is the Chaperone Usher pathway used for?","To make type 1 pili and P pili."
"Which chapter and figure detail the Chaperone Usher pathway?","Chapter 11; Figure 11.7."
"What do Type 4 pili resemble?","The Type II secretion system."
"What are pili?","Large organelles consisting of many individual proteins in a complex structure."
"What is the primary function of pili?","They function as adhesins, binding to surfaces or other bacteria."
"What additional roles can pili have?","Involved in gliding or twitching motility or uptake of DNA."
"Why are pili important?","They are important to pathogenesis."
"What is the problem with organelles on the cell surface?","They consist of repeating subunits that need to be self-assembled on the cell surface and not assembled prematurely."
"What is one solution bacteria have evolved for organelle assembly?","Subunits have an intrinsic capacity for self-assembly, and a periplasmic chaperone prevents them from assembling in the periplasm. An usher protein guides the pilin subunits through the outer membrane where they start to self-assemble (P pili; type 1 pili)."
"What is the second solution bacteria have evolved for organelle assembly?","Pilus assembly begins at the outer face of the inner membrane and extends out through a pore in the outer membrane (type 4 pili). Like a hair, all pili grow from the root."
"Is there an energy requirement for translocation of substrate across the outer membrane?","There is no apparent energy requirement."
"What remains unclear about the translocation process across the outer membrane?","What drives the process in terms of energy remains unclear."
"What pathway is involved in the assembly of pili?","The chaperone/usher pathway."
"Where does pilus assembly start?","In the outer membrane."
"What is similar to the pilus assembly process?","The autotransporters (secretion system V)."
"How is the substrate protein handled before translocation across the outer membrane?","It is folded before translocation."
"What characteristic must the usher (outer membrane channel) have?","It must be relatively large (predicted to be 2-3 nm) and gated."
"What pathway is used for the assembly of pili?","The chaperone/usher pathway."
"Give examples of pili assembled by the chaperone/usher pathway.","P pili/fimbriae and Type 1 pili."
"Which bacteria is associated with the assembly of P pili/fimbriae and Type 1 pili?","Uropathogenic E. coli."
"What is the chaperone/usher pathway responsible for?","Assembly of pili (Type 1 & P pili)"
"Which types of pili are assembled by the chaperone/usher pathway?","Type 1 and P pili"
"What are surface appendages involved in?","Adhesion, gliding motility, or DNA uptake."
"How does the assembly of type 4 pili differ from P pili?","Assembly of type 4 pili begins at the periplasmic face of the inner membrane and extends through a pore in the outer membrane."
"How many accessory proteins are involved in type 4 pili assembly?","As many as 20 accessory proteins."
"What is a unique feature of type 4 pili synthesis?","Type 4 pili are capable of being synthesized when needed (phase variation) and can be retracted."
"What is an example organism that has type 4 pili?","Neisseria gonorrhoeae."
"What are the roles of PilT and PilB in type 4 pili?","PilT is involved in retraction, and PilB is involved in assembly; both processes are ATP-dependent."
"What is the type 4 pilus assembly closely related to?","A pathway for secretion of proteins into the extracellular space, known as the type II secretion pathway."
"How many accessory proteins are involved in the type II secretion pathway?","12-14 accessory proteins."
"What is the relationship between the accessory proteins of the type II secretion pathway and the type 4 pilus pathway?","Most accessory proteins are highly homologous to components of the type 4 pilus pathway."
"In which organism are some components shared by the pilus assembly and the secretion pathways?","Pseudomonas."
"What is the role of PilB in the type 4 pilus pathway?","PilB is involved in pilus assembly."
"What happens to PilA during pilus assembly?","PilA is secreted into the cytoplasmic membrane via SecYEG, and its signal peptide is removed by GspO/PilD, the prepilin protease."
"What occurs during pilus retraction in the type 4 pilus pathway?","PilA subunits are retracted back into the cytoplasmic membrane."
"What is the function of the prepilin protease GspO/PilD?","GspO/PilD removes the signal peptide from prepilin PilA during pilus assembly."
"Where was the type II secretion system first discovered?","In Klebsiella oxytoca, where it was required for secretion of the starch-hydrolyzing lipoprotein, pullulanase."
"What is a key feature of the type II secretion system (T2SS)?","Proteins use the general secretion pathway to reach the periplasm and enter the type II secretion machinery/pathway in the periplasm."
"How do proteins traverse the outer membrane in the T2SS?","Proteins traverse the outer membrane through a channel made by special pore-forming proteins."
"How many proteins comprise the T2SS?","The T2SS is comprised of 12-14 proteins."
"Name some bacteria where examples of T2SS are found.","Examples are found in Vibrio cholerae, Shiga-toxin producing Escherichia coli, Legionella pneumophila, Yersinia enterocolitica, Pseudomonas aeruginosa, Burkholderia pseudomallei, Erwinia chrysanthemi, and Xanthomonas campestris."
"What is the type II secretion pathway used for?","It is used for secretion and targeted delivery of toxins, proteases, cellulases, and lipases."
"What can protein complexes do in the periplasm before entering the T2SS?","Protein complexes can fold, form intra- or intermolecular disulfide bonds, and assemble in the periplasm before entering the type II secretion pathway at the external surface of the inner membrane."
"Give an example of a protein that uses the type II secretion pathway.","Cholera toxin (AB5) is an example."
"What is the function of the outer membrane pore known as 'secretin'?","It acts as a gated channel that must accommodate folded proteins and assembled multi-protein complexes."
"How many subunits form the secretin complexes?","Secretins form highly stable ring-shaped complexes of 12-14 subunits."
"What is the diameter range of the central channel in secretins?","The diameter of the central channel is 5-10 nm."
"What is the internal diameter of the Klebsiella PulDS complex?","The internal diameter of the Klebsiella PulDS complex is 7.5 nm."
"What is the Type II secretion pathway?","A mechanism used by bacteria to transport proteins across their outer membrane."
"What is a secretin in the context of Type II secretion pathways?","A protein complex that forms a channel through which secreted proteins pass."
"What technique is used to render the structure of secretin?","Cryo-Electron Microscopy."
"What is the Type III secretion system (T3SS)?","A sec-independent process used by certain bacteria to inject proteins into host cells."
"In which bacterium was the Type III secretion system first discovered?","Yersinia pestis."
"Name some gram-negative bacteria that have the Type III secretion system.","E. coli, Salmonella, Shigella, Bordetella, Pseudomonas, Xanthomonas, Ralstonia, Erwinia, Chlamydia."
"What are examples of T3SS effectors?","Invasins IpaB and IpaC in Shigella."
"What is the function of Type III secretion systems (TTSS)?","An apparatus for introduction of 'effector' proteins into the cytoplasm of eukaryotic cells."
"In what type of organisms are Type III secretion systems (TTSS) present?","They are present in a wide variety of gram-negative organisms."
"How is the delivery apparatus of Type III secretion systems (TTSS) described?","The delivery apparatus is highly conserved and similar to flagellar hook-basal bodies."
"How are effector proteins of Type III secretion systems (TTSS) described?","Effector proteins are less well conserved and display diverse functions."
"What encodes the components of Type III secretion systems?","Gene clusters known as pathogenicity islands (PAI)."
"Are Type III secretion systems Sec-dependent or Sec-independent?","Sec-independent."
"What triggers Type III secretion systems?","Intimate contact with the host cell and ATP hydrolysis."
"Do substrates of Type III secretion systems have a cleavable amino-terminal signal sequence?","No, substrates lack a cleavable amino-terminal signal sequence."
"What do Type III effectors typically have that is also encoded by the PAI?","Cytoplasmic chaperones."
"What might the recognition signal for Type III secretion systems involve?","Either N-terminal amino acids or the 5’ UTR of mRNA in some cases."
"How do substrates of Type III secretion systems enter the host cell?","They bypass the periplasm and extracellular environment to directly enter the host cell."
"What is the immune evasion strategy of Type III secretion systems?","Direct entry of substrates into the host cell bypassing the periplasm and extracellular environment."
"Where does the folding of substrate proteins occur in Type III secretion systems?","The slide does not specify where folding occurs."
"Why are Type III secreted proteins called 'effector proteins'?","Because they have profound effects on the host cell."
"What is the structural similarity between T3SS and flagella?","The structure of the 'needle complex' in T3SS is strikingly similar to that of the flagellar basal body."
"Are the protein components of T3SS and flagella related?","Yes, the individual protein components of the structure are homologous."
"How are components of the flagellum secreted?","Components of the flagellum are secreted by a type III mechanism through the hook-basal body."
"Is there an evolutionary link between T3SS and flagella?","There is a possibility of evolution from a common structure."
"Can certain virulence proteins be secreted by the flagellar apparatus?","Yes, certain virulence proteins can be secreted by the flagellar apparatus."
"What is the function of the flagellar basal bodies?","They function as type III secretion systems for proteins that are not part of the flagellum."
"What role does the hook-basal body play in flagellar function?","It serves as a dedicated protein export apparatus that secretes flagellar proteins from the cytoplasm to the cell surface."
"What happens to components of the flagellum during transit through the conduit?","They are partially unfolded, then refold and insert into the growing filament."
"Which extracellular enzyme can be secreted by the flagellar apparatus in Yersinia?","The extracellular phospholipase YplA."
"What was the significance of the Dover trial in relation to flagellar structures?","The trial, also known as the 'Bacterial Flagellum Trial,' resulted in the ruling that teaching 'Intelligent Design' in American state schools was unconstitutional."
"What is Type IV secretion?","Type IV secretion is a mechanism that involves the export of proteins across three membranes: the inner membrane, the outer membrane, and the eukaryotic membrane."
"What structure does Type IV secretion assemble?","Type IV secretion assembles an extracellular needle-like structure."
"What are examples of systems that use Type IV secretion?","Examples include bacterial conjugation systems like IncP and the VirB system of Agrobacterium tumefaciens."
"What does the VirB system of Agrobacterium tumefaciens do?","The VirB system translocates oncogenic T-DNA (large single-stranded DNA) into plant cells."
"What forms the tube-like structure in Type IV secretion?","An elaborate complex of 12 or more proteins encoded by PAI."
"What drives the Type IV secretion process?","ATP hydrolysis."
"How do structural components in Type IV secretion facilitate secretion?","They bridge the periplasm and change conformation to allow secretion to occur."
"What may serve as a conduit in Type IV secretion, similar to type III secretion?","An extracellular pilus-like structure."
"What is an example of a complex used in Type IV secretion?","The T complex made up of VirB proteins used by Agrobacterium tumefaciens."
"What does Agrobacterium tumefaciens transfer into host cells using Type IV secretion?","Proteins and oncogenic T–plasmid DNA into plant cells."
"What is the function of the Dot/Icm system in Legionella pneumophila?","It allows the bacterium to deliver proteins directly to the cytoplasm of macrophages, subverting the phagosome:lysosome fusion pathway and blocking actin rearrangements."
"What role does CagA play in Helicobacter pylori?","CagA is an oncoprotein delivered from the cytoplasm of H. pylori to gastric epithelial cells, inducing an inflammatory response. Cag PAI is associated with highly virulent strains."
"How does the Ptl system function in Bordetella pertussis?","The Ptl system is a partial T4SS that secretes pertussis toxin components, which are assembled in the periplasm and secreted into the extracellular space. The toxin then binds to eukaryotic cell surface receptors and is internalized."
"What is the secretion mechanism used by Bordetella pertussis for pertussis toxin?","The pertussis toxin is secreted by the Sec pathway and then across the outer membrane by a partial T4SS known as the Ptl system."
"Who are the authors of the study on Type IV secretion in well-known pathogens?","Backert and Meyer"
"In what year was the study on Type IV secretion in well-known pathogens published?","2006"
"What is the focus of the study by Backert and Meyer in 2006?","Examples of Type IV secretion in well-known pathogens"
